三径入青山	三径
嗔到扬舲到夜深	嗔
初不是阿衡	衡
夜来风雨明	风雨
风流一溪曲	溪
不是客多情	客
湖上一孤舟	孤舟
离群最上头	群
芙容梳洗处	容
还似别离愁	青山
连朝风雨正纷纷	纷纷
梦里人家不到家	家
唯有落花深带雨	深
当年处处种梨花	当年
寂寂空山半夜钟	钟
人间处处有龙钟	人间
老来不是先先事	先
且向云山认取侬	取
春去春来不忆君	君
野花芳草亦无心	无心
多情未尽人间事	人间
细看残花度绿阴	雪
三十年来尚有诗	诗
老来何事不能追	追
如今旧事君知否	君
且作灯前一首诗	诗
公子归来天地平	平
相寻无路到山城	寻
游人不得暂归去	暂
惟有一秋无一声	秋
身是当年一病身	身
不知谁是不归人	人
老来读破除书事	书
不识重来不识真	不识
身是当年一病身	身
老来心事已陈陈	陈
朝衣粝饭缘何事	衣
尽日登山忆故人	日
日落征帆落	落
苔痕溅雪痕	雪
不嫌山驿使	使
吹雨入柴门	春风
一树桃花满树红	红
北风吹雨落花风	风
今朝欲去不归去	今朝
明日归来秋色空	空
枝头荷叶堕	堕
攀折寄横枝	寄
惟有钱塘水	水
黄花烂漫时	漫
晓色祥光淑气浓	浓
祥光滟滟水溶溶	水
睢阳淑气知何处	阳
烟雨蒙蒙瘴雨中	雨
小小姑苏小	小
飞来锦帐前	前
陶陶陶白酒	陶
好景咏诗篇	景
修竹修篁十万竿	竿
年年心事到长安	年年
如今只在晴烟里	烟
不作西风六月寒	寒
自是当空手	空手
无人倒骑来	骑
不知人不识	人
随水到天台	水
百年虽壮岁	岁
萧然傲冕旒	傲
如今见君节	君
不遇遇狐裘	遇
眉毛衰鬓鬓斓斑	鬓
老子无诗更不悭	诗
李白鸥盟须一事	须
莫将援笔写骊山	写
造物自功名	功名
人心宛宛转	忽
沧海变将来	变
吾心是何事	心
愚智由来自有神	神
不知不惑是何人	恣
旁人不识知人意	意
便是山头第一人	第一
行藏不覆藏	藏
覆步入梵宫	宫
溪山深处行	行
到处直当空	休
青山无处觅	觅
一路净无尘	尘
自是满怀处	怀
时时是故人	足
按部笙歌杳不闻	闻
梦中闻道梦中闻	道
不知多在西山处	西山
一带夕阳起暮云	夕阳
燕子西来处处求	求
夜来风雨满空愁	空
夜深不见池边树	树
只在桐花最上头	花
南州是赵州	州
已放北山头	放
一种千年色	色
杜鹃声里愁	声
细雨随风入虏庭	庭
百花亭畔旧新亭	旧
游人若问知何处	问
应不移文入画屏	文
江上旧楼台	旧
连云千万里	万里
游人未易来	易
便欲移船去	船
归去几重重	重
梅花乱雪中	雪
半山无尽处	半山
何处约春风	约
凤凰池上雨	雨
池上无春色	春色
东风作晚凉	晚
池上无方直	直
本来真法界	法界
不是万机人	人
个个圆如箭	箭
依前不是亲	前
画船初出大堤边	堤
柳絮随行复著鞭	复
我欲凭君更沽酒	君
一痕细雨涨寒烟	痕
江北江南九月天	天
扁舟难处泊渔船	难
若教不向江南去	教
又作江头月上弦	弦
帝子重来玉座中	玉座
一车风雨送春风	车
只应流出西河汉	汉
那得骄兵入梦中	虏
声中惟有一般声	声
心事从来自不安	不安
安得老黄千万里	黄
何劳劳不到长安	劳
已怯东风柳眼青	青
更将鞞鼓入诗情	鼓
可怜太史州青史	州
自是无人是旧情	无人
一去几重重	重重
归来不可呼	呼
至今收拾尽	收拾
何处不教愚	教
枕上钟声出翠微	微
落花流水篆香肥	香
扁舟欲去还收去	收
我欲齐梁去不归	梁
凤凰台上凤凰台	台
一缕新丝带雨来	新
莫谓三公无一事	三公
何人献得杏花开	贺
北山归去几经秋	秋
十在西山最上头	十
怪得归来无一语	语
却将明月为君愁	君
老子不知谁氏子	子
白头惟有四时花	花
也知今岁三千岁	岁
每到楼台自一家	楼台
故国归来自有期	期
千峰玉立立多时	玉立
青山自是无藏处	藏
何处有人人不知	人
一树千株碧	碧
梅花百尺间	间
移舟舣舟去	舟
不得到南山	不言
一种桃花陌上游	游
一帘春雨带春流	春
眼中只有桃花信	信
白鸟飞来江水头	江水
打破虚空事已空	空
回头醉倒影随风	影
老来物色今无数	数
且献参差四座中	献
平生万事太平生	平生
手把豳诗画不成	诗
莫把文章无一事	文章
不知何处是严陵	陵
江南陌上人	人
江南春色空	空
谁知有书处	书
何处是秋风	秋风
群鸦飞上苑墙东	东
帘卷珠帘别殿中	殿
黄鹤楼头春日暮	暮
一帘花月对秋风	花
夜来风雨不胜秋	秋
细雨疏疏疏不瘳	疏
细雨落花无限思	思
世间何事不胜愁	愁
老来心事太匆匆	太
万事依前一梦中	前
折得百花千尺锦	锦
白云何处是虚空	白云
出岫拥寒云	云
青山漫漫分	漫漫
南山对秋雨	秋
擎出一山云	娥
老子坐中坐	坐
恼人还独卧	卧
不在人间间	间
诗将一杯酒	诗
南北东南第一州	州
全身不是等闲游	全身
渠侬不是关渠事	渠
却是渠渠最上头	渠
佛法从来不自修	修
心通佛法在心头	心通
老来不是观书句	书
却向柴门闭白头	闭
却怯东风一样轻	轻
归来不作一般声	声
频来燕子知何事	频
三百年来不得名	名
昨日归来白草堂	堂
又随风雨送斜阳	送
归来归去无寻处	寻
白鸟飞来又过墙	城
老子当年事已成	成
归来何事竟难成	终
如今不得诸诸事	诸
老眼看来总不成	总
老来眼底事难成	成
折得千条百万茎	万条
折得鲛绡裁不得	裁
春风吹作杜鹃声	春风
岩上一株松	松
桥边道路通	通
谁知有筋力	力
不是不言功	功
江北江南九月天	天
碧天如水水如天	天
此山只在山深处	山
一片飞帆泊画船	飞
昔日登山忆故山	山
满湖春水涨新湾	新
昔人知我非何事	非
又作东风五月寒	寒
归去谁为主	主
归来尚有诗	诗
归来不得句	句
正是太清时	清
园里桃花不见春	春
向来随驾丧精神	驾
宫中记得西成事	西成
万事依前是主人	前
一树无花尚有花	花
不如蝴蝶逐儿斜	儿
看来不到经行处	行
梦断桥横一万家	横
日日归来三日日	日日
小楼终日醉初醒	醒
今年不是今年事	今年
只有残书一夜星	书
多病常多病	病
青灯半夜灯	青灯
梦中闻不语	闻
飞上雨千层	雨
不是安禅客	客
归来忽忽来	忽
不知非一事	非
不得故林开	林
三年习气满沧洲	沧洲
万顷平湖万斛舟	舟
不是胸中谁谨护	护
不知春色自风流	春色
昔人不具眼	眼
万事总萧然	总
造物浑无事	浑
归来晚自然	晚
独上危楼独倚栏	倚
落花都在醉人间	醉
游人不放当时事	放
休得归来一等闲	休
不着六铢衣	衣
籯金本无瑕	金
谁能化为土	土
夫子亦争夸	争
桃李无花未有花	花
夜来风雨又春斜	春
年来陌上春初觉	觉
影落窗前树影斜	落
江南陌上人	人
到处皆寂寞	寂寞
何处不遇来	遇
一夜听风雨	一夜
渡头初咫尺	咫尺
都在水中虚	虚
却向阶前处	阶前
还将此夜书	夜
旧事无人问	问
渔蓑自往还	蓑
落花千树树	树
人我对南山	人
园里桃花不见春	春
杏花枝上翠烟颦	烟
桃花到处多情懒	懒
偏得黄鹂作主人	偏
年年陌上访刘郎	郎
直至如今不见郎	郎
自是无穷通到处	通
却来天上信斜阳	信
江北江南春色深	深
游人已觉更伤心	觉
看来不是无花木	木
只道看花意更深	道
昔日丹青手	手
登山去路遥	遥
不知山路隔	隔
飞过水平桥	月
山北江南万里云	云
北山归路杳犹闻	犹
夜来细雨新新雨	新
更听雨声频送君	频
山北江南万里云	云
北风吹雨玉纷纷	玉
山头柳色浑如雪	雪
惟有梅花寄使君	寄
乐府归来暑气清	清
春风何处更多情	春风
秋光满目烟波阔	阔
不见青山一点青	青
江上秋风急	急
长江万里程	万里
千古功名在	功名
行人不道兵	道
不知何处不相携	携
坐石桥边绿草齐	坐
自是山中有欢喜	喜
却於愁里听猿啼	愁
开尽梨花菊已残	残
秋风吹雨怯秋寒	秋风
闭门尽日无多日	日
且向他山细细看	山
万事不曾曾	曾
谁知不是秦	秦
别来宁复复	复
不是旧时人	公
一夜东风结冻云	云
乱山佳处忆昭君	山
老来始觉知无事	始
今日登山又送君	今日
江上秋风动	动
寒虫更怯寒	馋涎
堪怜谢安石	石
为我性长安	性
何事重来有此心	心
因缘未了又还生	生
夜来归去香何处	香
满目山光湛月明	湛
年来宁复复	复
事底事堪悲	底
何事无人问	问
鸟鸣蝉噪时	鸟鸣
酷暑重来暑气清	清
笋舆走虺斗铮铮	斗
归来不入长安路	路
却向溪山处处行	行
太液池边树	树
池中抱寿觞	抱
君王王圣寿	王
百尺寿封疆	百尺
吴王宫殿锁烟霞	锁
月色秋光射暮鸦	射
宫女墙头春色紫	紫
君王宫女拜宫花	拜
不知谁是与刘郎	郎
匹马黄花满道场	马
四十衰年无一事	年
为君看作百花香	君
初入武陵溪	溪
陌上杨花冷	冷
陌上送行人	行人
今日相思去	思
湖光渺渺渺湘江	湘江
流到淮流更断肠	流
料得此心无一事	心
悠悠烟水两茫茫	悠悠
去年十载未归来	归来
每见梅花记未开	记
惟有故人知此意	意
看花应被使人猜	人
归去重来不是家	家
著鞭蝉鬓少年华	鞭
至今陌上人无事	人
却向门前看落花	门前
从来万事不争先	先
况是经秋多少年	秋
何事元来无一事	元
此心心物自悠然	心
平沙漠漠绝纤尘	漠漠
隔水平沙映问津	映
赖有故人揩画手	手
不知天地与宽臻	宽
鞍马停鞍马	鞍马
駸駸车马间	间
行人苦辛苦	辛苦
不见夜南山	夜
老来人物自交情	交情
万事茫茫过此生	茫茫
应是故人安得得	安得
相期何事未忘情	期
不作羲之时	之时
安知我亦难	难
危疑无一事	危疑
应不与人看	人
东风一样轻	轻
为我与君行	君
不作寻常念	念
他年一世荣	年
世事从来世世稀	世
举头始信美人归	信
不随明日入城去	城
赢得当门一布衣	门
春来不忆君	君
无计备山云	备
及到三清处	三清
知天似使君	天
稚子悲欢喜	喜
还从此地分	分
老来应有想	想
悔不见书君	书
枝头一叶叶	叶
山中无尽日	日
从此作麽生	生
蜻蜓自忙误	忙
日日上危亭	亭
残灯半夜灯	灯
归来无尽日	日
出口到巴陵	口
百啭黄鹂不数声	数声
故人家里更多情	家
故人到处疑无事	疑
卧听寒寒听雨声	寒
乞与幽人一炷香	香
山头日日日偏长	日
鸳鸯睡起微风起	睡起
留得飞花处处忙	迟
梦里身为客	客
何如井邑何	邑
溪山最深处	深
肠断断肠多	肠断
一夜东风结冻云	云
杏花枝上雪纷纷	雪
冰肌玉骨冰肌骨	骨
露洗澄潭照水纹	潭
桃李无花未有花	花
斜阳溪上一溪斜	溪
谁知十载归来处	十载
隔水寒山自一家	山
乐事知多少	少
吴王万事多	王
不知须底事	须
无奈簿书何	书
不见山头月	月
遥闻鼓角声	声
众波千万里	波
若个是曹程	曹
满城春色已萧条	萧条
啼鸟相催过石桥	催
十日好风三更雨	风
青山处处不逍遥	青山
江南陌上麦青黄	黄
又见桃花春水香	桃花
知是春风何处处	春风
行人偏不作诗肠	偏
万事都如梦	梦
归来不是空	空
不知行万里	行
知是越王公	公
佛法从来无诤师	师
钳锤声里不须弥	声
谁知火焰相扶处	扶
正是行行不到时	行
想见江南陌上春	春
不随风雨委埃尘	尘
可怜不是胭脂色	绝色
犹有桃花冷笑人	人
梅花初见小花开	小
好趁晴风细雨来	风
白鸟飞来山静处	山
卷藏不见杏花开	藏
宴罢今朝罢	罢
朝来倦往还	倦
主人归不去	主人
书寄梦中山	书
一事不为予	予
人心终不如	终
不知来此地	此地
犹自读春书	春
春色浑如玉	玉
随风度月光	度
老来非一事	非
惟有梅花香	梅花
独向山中坐	坐
闲来看竹时	竹
铁心铁似铁	铁
何处问谁知	问
从来人物故应难	难
今日归来风更寒	风
落尽落花人不见	人
举头便作放翁看	翁
江南陌上人	人
千年是妾身	身
主恩殊未解	解
何处不伤春	春
满目江山不胜游	胜游
片帆尽日到山头	日
林间鸥鹭应相顾	顾
飞入白云归未休	休
处处有醯鸡	鸡
何人亦有诗	诗
青山与秋草	秋
正是好风时	风
相似不相如	相似
无言道是渠	道
一生虽不死	死
处处有新书	新诗
不作南州路	路
如今是道州	道
不知行路远	远
走马度杨州	度
不知造物故应难	难
万事相寻百万端	寻
满目江山二千里	千里
不知何处不争看	争
园里桃花不见春	春
一花初见一花新	花
落花欲上休吹去	吹
留作孤眠作主人	眠
一室萧然一秃翁	翁
秋风凛凛九天风	风
谁知卧病身强健	身
一片浮云一扫空	空
一树梅花四十春	春
溪山佳处不愁人	人
西园一种千株柳	柳
收得丝丝日日新	丝
明朝骑马出深山	深山
云在寒云满树间	云
老子老来还自学	学
不将心事动清闲	动
万事便牵衣	牵衣
归来十万机	机
老来无白日	白日
今日夜犹归	犹
打破虚空事已空	空
不知高处不生风	高
无端的的知人意	意
争得西来更向东	西
万仞峰头百丈高	高
百年赢得两三毛	十三
从今个个男儿女	女
乞与辽天作怒涛	天
万事有无间	间
万事一时发	发
不知谁令来	令
为我归来晚	晚
孤峰顶上麒麟阁	阁
细草连云带雪开	雪
猿鹤不来天气冷	冷
夜来风月等闲来	闲
一番风雨一番新	新
又见梅花第一根	根
春事自缘无一事	缘
夜深深浅闭柴门	深
迢迢湘水湄	湘水
马蹄千万归	万
不是萧萧郎	郎
一胫惭落晖	惭愧
日日上危亭	亭
秋空第一声	空
归来终日醉	醉
知是故山情	山
百花万里万花开	万
莫向梁间把酒杯	间
莫向白莲舟上去	舟
细看画舫入船来	船
三十年来尚有诗	诗
看来还是雪晴时	雪
世间万事浑如梦	梦
只见梅花雪不知	雪
万事重来不是非	非
如何不得老胡归	胡
老来不作封书事	书
自是无心乐自肥	乐
风雨归来晚	晚
春来事已迟	玉
落花残秉烛	残
不逐乱云飞	云飞
一阵西风立晚风	晚风
轻寒处处颤轻红	轻寒
不知春暖知何处	春
风雨真堪细雨中	堪
凤凰池上雨	雨
走马出骊龙	龙
独向天津去	津
曾来一梦中	曾
昔日登山忆故山	山
旌旗初见一朝班	旗
归来不肯将归去	不肯
只恐天风自往还	风
当时都勘破	破
四海大如海	海
氐丑本无端	无端
广文不为力	文
满地虚空绝点埃	点
谁知孤负不相猜	负
如今不得双双去	双
一步虚空去复来	复
两鬓浑如雪	雪
鸡声到枕前	前
更来三十里	十里
心事自然然	相逢
桃花深处见桃花	桃花
流入青门十万家	青门
佛法不知安乐法	法
夜来无路到君家	君
本来三岛外	岛外
卢舍酒家财	舍
不作山川图	图
湿云随雨来	云
旋旋旋旋旋旋旋	旋
小园开趁蕊珠舡	珠
朝来一阵北来去	北来
些子梅花也可怜	子
山云黯黯万重云	云
万里长空花不分	花
今日归来惟有酒	酒
山中有客问东君	客
风雨落英英	英
朝朝谒帝京	帝
临风向西施	施
归去杜鹃声	归去
冷落河阳漏	漏
兰闺夜月寒	寒
不知天上露	露
霜夜倚阑干	霜
昨夜须弥顶上行	行
从教布被陷人坑	人
谁知贼败人间事	人间
林下犹闻第一声	犹
老来风物自从容	从容
万事谁知造化功	功
手把黄花待春雨	春雨
举头便是老翁翁	翁
临水登山尚尚余	尚
胸中不见玉清癯	玉
如今记得今朝侍	侍
赢得溪山一曲无	一曲
风雨萧萧散	散
春华见物华	春华
不知风物外	外
春雨看梅花	春风
一树无花尚有花	花
解愁处处是谁家	解愁
老来无语无言语	语
满面含羞照碧纱	含羞
不入壶中别有天	天
重来处处著衣然	衣
如今只在江南处	江南
看到绿阴红绿边	绿阴
不到吴山十月时	十月
天门何事且迟迟	天门
老来岂是无情物	物
万事从来实不知	实
两鬓浑如雪	雪
江山带雨来	江山
不知春色胜	胜
飞雪满空台	空
白头三百结	结
天上三千紫	紫
天上酒一杯	酒
诗无一杯酒	诗
初出大江边	江边
此心常不忍	不忍
谁知不归路	归路
明日还丹去	丹
落日又落日	落日
行人不唱时	唱
桥边濯秋水	濯秋水
桥上采花枝	采
昭阳台上古高台	古
昔日沩山僧不来	僧
惟有清谈禅到处	禅
至今犹见落花开	犹
万里风光满太虚	虚
千骑万骑入仙都	万
人人白酒一尊酒	酒
且向尊前不读书	前
竹篱茅屋是谁家	谁家
花落天风日又斜	风
明日归来谁作伴	伴
只应怜见石榴花	怜
昨日重来十日晴	晴
春风何处更多情	春风
桃花满树红何处	红
绿柳阴阴绿太平	绿
溪山佳处且迟留	留
知是高人最上头	人
燕子归来秋已老	秋
故人无语别离愁	无语
十年不得眼中书	书
赢得千林万事疏	林
料得人间无一事	人间
如今已觉满华胥	觉
日日花阴合	合
东南四百州	州
谁知有清处	清
双泪向人头	人
劈箭竛竮竹外枝	枝
争争饶舌不相宜	争
这般饶舌来相唤	呼唤
赢得回头有恨时	恨
细雨归来晚	晚
江南陌上云	云
广文归不去	文
处处有杭君	古人
归来无一念	念
万事与常俱	俱
若得老婆去	老婆
随分一事无	分
万仞峰头百丈高	高
一泓溪水浸寒涛	寒
老来不作长安道	道
犹有飞来秋兔毫	秋
诏诏诏诏诏	诏
君王少圣恩	少
承恩覆车马	马
汉诏与西蕃	西
夜静泉声静	静
清风塞未乾	塞
薰风入金殿	金殿
犹不上龙坛	犹
三十年来不俗尘	尘
世间万事又纷纷	纷纷
不知鼻孔成何事	孔
留得灵山破策勋	破
欲随云影上楼台	台榭
马上看花不敢开	不敢
公子看来成底事	成
高楼独自倚楼来	高楼
昔日重来避俗尘	尘
去年今日又逢春	春
送君相送君归去	君
独对寒山忆故人	山
造物化为底	底
人间小小迟	小
从来好风露	风
不是不呼时	呼
昔日登山忆故山	山
每来沽酒饮衰颜	饮
不知今日将愁去	愁
送与行人愁往还	愁
释氏同心奉至尊	尊
知人应不出朱门	知人
君王自是王王事	王
何苦承恩报圣恩	苦
陌上梅花柳色新	新
坐中宴坐软红尘	坐
老来春事浑无事	浑
造物常持作主人	持
昔日登山忆故山	山
片帆渔艇自往还	渔
如今不踏江边路	路
却向南山买北山	买
顿得归来顿顿奇	顿
鸡声唤得唤来时	唤
谁知不是承天力	天
隔竹从来也不知	竹
自有一砚水	水
飞来花影浮	浮
我来今夜话	话
不是侍儿羞	儿
三十年来尚有诗	诗
如今尚想见青时	青
刘郎独自东归去	郎
应是主翁翁不知	翁
惟有一砚水	水
从来去复来	复
可怜千里月	月
随分上楼台	分
到处是便宜	便宜
看来总不知	总
渠侬家万里	家
不是不疑时	疑
夜深山谷静	静
惊起卧龙眠	眠
啼鸟知深静	深
幽人独宿眠	宿
江南陌上人	人
斜日挂朝衣	衣
却被秋风动	动
雕鞍趁晓归	晓
自有锋铓句	句
先生意亦闲	闲
城中无一事	城中
疑是汉家山	家
绿酒一樽酒	酒
何人相对谈	谈
不知来上马	上马
沽酒买江南	买
帝子重来避俗尘	尘
不知文饰在斯民	民
却疑万事缘何事	疑
不到人间有几人	人
初入武陵溪	溪
桃花月满池	池
可怜湖上客	客
不是惜花时	花
江南陌上彩翚飞	飞
想见桃花到夜稀	夜
惟有落花清到处	清
使君长送野人归	野人
不是晋诸贤	诸
不知贤圣贤	贤
不知何所爱	爱
身物自萧然	身
世事成何事	相违
东风送远人	人
家家牵送客	牵
那得载精神	载
江南陌上人	人
陌上双眼明	明
何处不见君	君
雨中闻雨声	雨
三十年来不记年	年
老来心事亦游然	游
千岩万壑千山隔	隔
应是离人愁不眠	愁
陌上梅花柳色新	新
月光移影到天津	影
老来不得人间事	人间
行到梅花梦里人	行
万事从来不与俱	俱
世间何事只空骓	空
不知是佛谁为佛	佛
却是无边是佛时	无边
百花今已遍	遍
开眼为谁开	蕖
迭竟成何事	迭
闲人自倚来	倚
今日重来不见君	君
不知今日是吾儒	儒
如今二老虽无愧	愧
应是茆堂细读书	堂
江南陌上人	人
江南春色深	深
渠侬是渠侬	渠
不得令侬心	令
栽种庭前树	树
秋来白露秋	秋
老来俱一事	俱
一点点离愁	点
按部笙歌杳不闻	闻
夜来风雨恶离群	恶
祗知春色今何在	祗
玉树已摧无策勋	摧
游人岂不忧	忧
岂谓此身不	身
不见依依前	前
人间人不见	人
北山流水自精神	精神
凡骨何人骨有神	骨
想得溪山护生处	生
隔帘何处是闲人	隔帘
今日重来不见君	君
落花无处不伤春	春
重知春色知何处	重
也与闲人作闲人	闲人
酷暑重来暑气清	清
瓦炉初动碧鸡鸣	碧
若教唤起浑閒事	教
娇拥纱窗听乳莺	娇
处处坚牢落	落
登山倒欲狂	倒
谁知扁舟去	扁舟
应不到家乡	家
池上绿槐影	影
林间绿槐绿	绿
不知风物时	风物
曾见梅花影	曾
三十三分二十分	分
一条垂臂久论文	久
如今独自惭归去	惭
此志青山似使君	志
北风吹向朔风吹	吹
晓气昏昏晓漏迟	晓
说与游人争燕语	争
难教池上看花时	难
风雨令人泣	泣
郊原尚有馀	原
谁知蓟门外	门外
尽日汉家书	日
昔日登山不胜游	游
江山佳处不胜游	游
乱山深处寻山处	山
应是梦中行客愁	梦中
空山明月夜	夜
旋炷一炉香	香
谁识春风处	春风
年来觉梦长	梦
昨日西园一种梅	梅
杏花围绕杏花开	绕
林中只有黄鹂语	语
一夜吹香带雨来	香
一室萧然一秃翁	翁
溪山佳处有天风	天
老来心事须闲事	须
万事都成一梦中	成
王母阶前万斛珠	珠
绕畦细雨细如酥	绕
谁人自是知人事	人
不是经秋不是无	秋
乞与幽人一炷香	香
满枝黄叶染青黄	红
也知不是无花处	花
况是经秋不耐霜	秋
昨夜一声雷雨声	昨夜
关关何事便倾城	关
落花未尽穷愁起	愁
又听秋空第一声	空
老来诗兴动	动
别殿菊花开	殿
只在金炉里	金
夜来人不来	人
明朝骑马到南州	南
不是幡花最上头	花
雨过一江千万里	江
不知郎是一封侯	郎
一雨都无十日晴	晴
乱红红绿十分明	红
重来绿酒一樽酒	酒
细看柳花似有情	柳花
荷叶如荷叶	荷叶
初搴菡萏花	花
犹将离别恨	犹
应笑是谁家	笑
园里桃花不见春	春
北风吹雨甑生尘	生
柴门闭户无人识	不识
惟有漂红是主人	红
黯黯长城月满城	城
清风处处杜鹃声	清风
落花消尽一樽酒	酒
独上西楼看月明	月
百花今已遍	遍
行人不出关	出关
向来无处问	问
不是赵家山	赵
山色秋光暗	暗
山花拨乱开	乱
明明见君子	君子
游子去犹来	犹
天上长安道	道
行人迹已陈	陈
谁知在天地	天
不作贺中春	贺
白石榴花照眼明	明
又随风雨作寒声	寒
夜深一夜听风雨	夜深
细雨飞花渐不成	渐
昨日风光满太虚	虚
他年年有此中书	年
也知今日无他日	日
却向窗前新读书	新
按部笙歌杳不闻	闻
十年相别恨孤坟	恨
如今不到经行处	行
踏破秋空一片云	空
一树无花尚有花	花
夜深不到野人家	家
也知只在江南处	江南
赢得停舟日日斜	舟
千峰顶上黄金谷	谷
百草堂前一树蝉	蝉
不是故人留住处	留
前山疑是谪仙仙	仙
不向山中使	使
归来不得仙	仙
起看山上鹤	鹤
不是主人仙	人间
万仞峰头百丈高	高
煎茶只在掌中遭	茶
向来一笑来谈笑	迎
争得如花两鬓毛	花
归去访东游	访
居人最上头	人
谁知此心在	心
想见故犹愁	犹
不知造物故应难	难
太子谁能为指端	太子
造物自难无一事	难
行人只向日中看	日
不入青山集	集
诸公作鲁公	公
谁知不出处	出处
只在此池中	池
把酒不堪醉	醉
胸中无一声	一声
直至今犹在	犹
无情自有情	无情
短篷江上船	篷
船上青青红	红
酒醒浑未觉	觉
不是愁人风	人
一树无花尚有花	花
壶中有酒是谁家	酒
江南陌上青红紫	紫
知是书生十万家	书生
十年不到五峰前	前
万事锵鸣一坦然	鸣
怪得重来双面目	双
胸中都是旧萧然	旧
百折腰缠十万钱	万
悲风不动更凄然	不动
归来多少留春雨	春
还似襄阳旧少年	旧
十年不到五峰前	前
一念重来一念然	念
潮汐往来无觅处	问
不知元是是无边	元
落花今不记	记
吹雨落花风	风
记得归来久	久
秋天细雨中	天
青山无路不堪行	行
自是还家不计程	家
况是人间有新雨	新
隔花时听杜鹃声	花
渺渺江山远	远
西江一树秋	秋
夜来江上雨	雨
万树大江头	树
一树无花尚有花	花
小园旋摘紫金芽	金
六宫乞食缘何事	宫
不是寻春不到家	春
打破虚空事已空	空
身心只在浮云中	浮云
老来不是人间事	人间
到得归来意不穷	意
一番风雨一番新	新
到得凉生是早春	凉生
料得荔支今已老	支
鹭鸥何处是闲人	鹭鸥
礼乐谁为乐	乐
无多少少情	少
官闲无一事	闲
应笑太平生	笑
一树无花尚有花	花
不知春色在人家	美人
愁人不劝人归去	人
一枕重来日日斜	枕
万事从来作麽生	生
出头归去不成行	行
普门透出花开处	门
尽是幡花第一声	花
为政无为政	政
今为社稷臣	社稷臣
馀空无一事	空
岂是不归人	人
旧事无人问	问
江梅欲雪时	雪
太中无一事	太
应是向西施	施
纷纷初见菊花开	纷纷
明日还家万里来	家
冰雪满空归不去	空
东风尽日送春回	日
千树花开柿叶红	红
百花千树绕秋风	绕
也知春事偏长短	短
不与梅花作好风	风
明日未还家	家
清阴看落花	清阴
不能知有圣	圣
且学种桑麻	学
风月在尊前	前
同心奏广文	文
不将书字字	书
何事不劳言	劳
三十年来别有情	情
一樽无酒更无情	酒
江南江北多风雨	江南
寄与梅花寄别情	寄
一树桃花满树红	红
不知明日又春风	春风
不知处处垂杨柳	杨柳
只种杨花浅草中	种
归去重来不见君	君
满天云水满山云	云水
酒醒酒醒还归去	酒醒
明月满空山又曛	山
已怯东风柳眼青	青
老来无事足伤情	足
可怜陌上多寒雨	寒
惟有杨花复旧情	复
平地波澜翻	翻
风波不入山	山
夕阳台上翠	翠
屏障出云间	障
青灯照秋月	秋月
青灯照白日	白日
夜来秋色空	空
寒山对秋月	山
青山无处觅	觅
马上三千骑	骑
东南与南北	南
今日为君归	君
无心听不彻	彻
安得镜中秋	秋
枕上知何许	许
无心月自流	月
北风吹作朔风吹	吹
小队旌旗斗酒旗	斗
不是凤凰池上客	客
流莺桃李及春时	流莺
一舸乘风入楚云	云
坐中还向坐中闻	坐
风帆一阵天风起	风
信手抛来掉臂分	折来
一树梅花四十春	春
白头白发白头新	头
马蹄踏断桥边岸	岸
却是落花愁里人	愁
春色浑如玉	玉
单于陌上行	行
胸中无一咏	咏
援笔寄关情	寄
杜老似当年	当年
不见城边草	草
不知今日来	今日
白发垂垂泪	垂
日日初长日	日
东风尚好风	风
谁知有遗庙	遗
瑞麦战场中	麦
按部笙歌杳不闻	闻
广寒宫殿拥寒云	寒
宫人不唱歌声曲	声
却被愁生恼杀君	生
不入武陵祠	祠
灵光现千里	现
安知不是空	空
此心千万里	心
金钗宝髻髻金钗	髻
梳发罗裙锦绣鞋	发
侍女莫嫌儿女伴	伴
西风吹著紫金钗	吹
仓皇习气旋旋旋	旋
水口风光亦自然	水口
今日舟行千万里	行
扁舟急急上渔船	急
堂上一株松	松
阴阴又一冬	夏
山头头月白	头
传语雨声中	语
古今古	古
今不遑遑安	安
不是可讥人	人
自有讥空名	空
北风吹雨泣东风	东风
只在孤云一片中	一片
落尽落花人不见	人
一帘飞雨落花红	飞
山光凝不流	流
木落一花发	花
处处是春风	春风
春来只愁绝	愁
云山深处是吾庐	庐
顾我清斋更读书	清
记得归来犹健在	犹
也曾携笔记游鱼	曾
归去归来未肯归	肯
酒船沽酒泪沾衣	酒
落花不断行人眼	眼
泪尽心随柳絮飞	心
杏园初见杏花开	烂
不是荷花细雨来	荷花
蝴蝶不愁人不去	人
群林惟见杏花开	群
岂不识人意	意
青山白云合	合
故人如许来	许
特地添秋雨	添
飞向江南陌上行	行
不知秦汉故人情	汉
君王自有承恩力	力
应念君王念世情	念
已怯东风衮衮衣	衣
朔风吹雨到天稀	天
梁间车马知多少	间
赢得孤眠不得归	眠
万仞峰头百丈高	高
胸中长短又周遭	短
胸中自有些儿辈	儿
拄杖相扶亦不遭	扶
一夜东风六月寒	寒
闭门相望眼明宽	明
也知只在山深处	山
折得梅花绕树看	树
白发年华发	发
工夫岂不知	工夫
此堂无一事	堂
折得一一枝	一枝
昨日归来三载酒	载酒
无人为我一篇诗	诗
送君到处君知否	君
便是墙西三月时	西
一事不须须	须
安知不是郎	郎
完全无一事	全
心事也须忙	须
