一径无三径	三径
江水水如水	水
鸿雁过浔阳	阳
吴江楚江雨	雨
白日青山小	小
青山古寺前	前
愿陶江上去	陶
临水景依然	景
流水桥边又一竿	竿
年年风雨怯春寒	年年
东风走马凌烟去	烟
折得梅花五月寒	寒
世上无纤手	空手
行人一骑来	骑
往来人不见	人
不逐水流回	水
二十三年三岁岁	岁
如今已傲已多时	傲
如今今日君知否	君
正是今年不遇时	遇
二十年来鬓鬓斑	鬓
诗人把酒送诗还	诗
归来欲去还须去	须
付与诗人写往还	写
不知何处是功名	功名
忽听西风听雨声	忽
万事不知心事变	变
只将心事不分明	心
从来亦有神	神
妙者不可闷	恣
谁能知此意	意
不是第一人	第一
青山天地藏	藏
飞出洛阳宫	宫
落日无行路	行
休看落照中	休
青山无觅处	觅
陌上委埃尘	尘
唯有怀宾客	怀
如今足主人	足
老去归来杳不闻	闻
至今谁与道相闻	道
如今更向西山去	西山
正是夕阳白鸟群	夕阳
此性从来本自求	求
一江流水自空流	空
如今不见庭前树	树
只在群花最上头	花
不到扬州是赵州	州
更将终日放鳌头	放
个中只有山头色	色
雷鼓一声溪水流	声
西风吹雨满庭庭	庭
一夜东风过旧亭	旧
不是主人无处问	问
不知何处有文经	文
春色浑如旧	旧
浮云万里开	万里
主人容易易	易
犹自放船来	船
山色重重重	重
千山雪雪中	雪
满山残雪里	半山
那得约相同	约
细雨不成雨	雨
不知春色多	春色
游人归去晚	晚
直直上嵯峨	直
法界千界界	法界
谁知不是人	人
一鎚如铁箭	箭
不是现前身	前
杨柳萧条短短堤	堤
不知何处复东西	复
不知今日从君去	君
草草苔痕白鸟啼	痕
渺渺长江水拍天	天
行人难买渡溪船	难
舣舟渔艇教归去	教
更上渔舟上钓弦	弦
美人开玉座	玉座
池上凤凰车	车
汉汉不如汉	汉
谁能作虏驱	虏
杜鹃声里听溪声	声
安得长安得不生	不安
记得归来是黄老	黄
老来何事不劳名	劳
一树桃花满眼青	青
一声箫鼓鼓江城	鼓
谁知不是州州事	州
赢得无人作此行	无人
白头山色几重重	重重
鸥鸟相呼去不同	呼
老子从来不收拾	收拾
却教烟雨趁西风	教
细雨归来暑气微	微
斜风细雨扑香衣	香
轻风细雨还收去	收
却向梁梁处处归	梁
天上楼台百尺台	台
玉楼新筑上楼台	新
三公不是王公事	三公
一贺君王去不回	贺
三十年来四十秋	秋
十年三十到扬州	十
如今说与行人语	语
今日知君不白头	君
白头狮子子	子
不见眼中花	花
不是今年岁	岁
楼台万万家	楼台
二十年来何所期	期
金鞍席上看花枝	玉立
桃花藏尽槐花树	藏
今日看花人不知	人
春水千峰碧	碧
湖光杳霭间	间
舣舟江上去	舟
鸥鸟不言还	不言
二十年来何处游	游
一家风物富春秋	春
不知今日无人信	信
只在青山东水头	江水
斜风细雨扫空空	空
一树榴花在影中	影
燕子归来无数数	数
却将时节献残红	献
何处是平生	平生
新诗诗不成	诗
文章无一事	文章
知是武陵陵	陵
往来天上人	人
秋色扫空空	空
中有书中书	书
夜夜听秋风	秋风
西来沧海东	东
别殿月光中	殿
日暮夕阳暮	暮
满城花晚风	花
三十年来四十秋	秋
老来无计自疏修	疏
山中尚有多情思	思
折得梅花总是愁	愁
少年何事太匆匆	太
只在尊前一梦中	前
记得洛阳关上锦	锦
如今只在白云中	白云
江上万重云	云
漫漫绿水中	漫漫
江南秋草草	秋
娥在月光中	娥
自在山中坐	坐
依然卧剡中	卧
不知岩石间	间
处处有诗穷	诗
不到扬州是赵州	州
全身赢得一身谋	全身
举头不得从渠去	渠
不是渠渠不白头	渠
从来独自修	修
通方通法直通通	心通
不得眼中书	书
一默闭无聋	闭
千年万事不轻轻	轻
又向东风寄此声	声
唯有游人频旧事	频
老来不得姓名名	名
堂堂堂上玉堂堂	堂
时听蝉声送夕阳	送
不是主人寻处处	寻
洛阳城上几重阳	城
万事事难成	成
谁能终此生	终
谁知诸诸子	诸
从此总功名	总
万事事难成	成
依然在九庭	万条
不是裁纨扇	裁
春风风动故人情	春风
石上一株松	松
千岩一径通	通
不知力筋力	力
付与主人功	功
渺渺长江水拍天	天
晚风吹雨欲粘天	天
湖山夜雨知何处	山
白鹭飞飞泊钓船	飞
江上万重山	山
新翻水拍湾	新
不知非世事	非
明月逼人寒	寒
不是主人主	主
重来别有诗	诗
往来还有句	句
何处有清诗	清
不见梅花二十春	春
不知何处驾红尘	驾
西成记得栽成去	西成
颜色依前是主人	前
梦里寻花不见花	花
与儿啼处听啼鸦	儿
行人到处无行处	行
肠断小桥横酒家	横
日日过日日	日日
酒醒都未醒	醒
不是去年年	今年
不觉一书夜	书
百年无病病	病
白日对青灯	青灯
夜夜谁闻语	闻
东风宿雨多	雨
江南湖上客	客
白雁忽归来	忽
今日非何事	非
林林次第开	林
爽气满沧洲	沧洲
扁舟水上舟	舟
森森苍翠岫	护
春色不回头	春色
老眼不具眼	眼
身心总自缘	总
看来浑不了	浑
到此晚依然	晚
独倚危楼倚倚栏	倚
游人不向醉中看	醉
飞来鸥鹭放归去	放
江上扁舟休钓滩	休
细雨湿罗衣	衣
落花金一围	金
不知池上土	土
蝴蝶不争归	争
梦里寻花不见花	花
满城风雨又春斜	春
春来不觉游人觉	觉
犹有东风落杏花	落
往来天上人	人
寂寞还寂寞	寂寞
主人遇主人	遇
一夜过一夜	一夜
高峰来咫尺	咫尺
天下太虚虚	虚
独向阶前后	阶前
须知此夜无	夜
往事如相问	问
一蓑独往来	蓑
不知千树树	树
看得几人回	人
不见梅花二十春	春
杏花烟里惹红尘	烟
不知日日归来懒	懒
偏与桃花恋故人	偏
何处是刘郎	郎
王郎似妾郎	郎
不知通处处	通
谁信是王郎	信
春来春意深	深
不觉觉时觉	觉
不知天上木	木
知是幽人道	道
不作游人手	手
从来岂不遥	遥
往来虽不隔	隔
孤月照孤桥	月
江上万重云	云
今犹旧泪痕	犹
朝来有新酒	新
惆怅入柴门	频
江上万重云	云
阶前白玉玉	玉
飞来雪雪中	雪
何处相相寄	寄
流水自清清	清
春风自有情	春风
池塘春水阔	阔
不见柳青青	青
昨夜秋风急	急
孤山万里中	万里
功名何处在	功名
谁道有秋风	道
少年何事不相携	携
正是山中宴坐时	坐
今日归来不相喜	喜
不知何处是愁时	愁
一树桃花菊未残	残
秋风不怯晚风寒	秋风
不知日日无归日	日
且作湖山满眼看	山
白云深处昔曾曾	曾
此去从来亦有秦	秦
归去往来谁复见	复
公知何处是闲人	公
江上万重云	云
看山不见山	山
始知知有始	始
今日几时还	今日
落日秋风动	动
飚髯自可人	馋涎
归来穿石石	石
造物性精神	性
何人识此心	心
不与一生生	生
清香不是香	香
皎皎吸风清	湛
行人不复复	复
只在青山底	底
无人问不来	问
不是鸟鸣去	鸟鸣
流水自清清	清
天上星星斗	斗
青山路不通	路
处处行行路	行
不见庭前树	树
行人抱抱来	抱
吴王谢何事	王
百尺一千回	百尺
白云深处锁烟霞	锁
面面清光射彩霞	射
五色雾中春色紫	紫
不知何处拜烟霞	拜
何处是刘郎	郎
西风骑马马	马
百年千岁年	年
今日知君否	君
一溪流水下浯溪	溪
一树荷花冷碧溪	冷
自是行人一行处	行人
小桥风雨思东西	思
明月满江江	湘江
长江江水流	流
伤心无此心	心
流水两悠悠	悠悠
归去不归来	归来
伤心都不记	记
美人妒妾意	意
犹恐随人去	人
江上青山处士家	家
欲鞭车马出京华	鞭
桃花处处随人见	人
不见门前一树花	门前
平生何事不先先	先
风雨经秋亦飒然	秋
自是元元无一事	元
老来心事亦依然	心
漠漠长江漠暮烟	漠漠
满堤杨柳映青烟	映
谁家儿女山头手	手
今日相宽二百年	宽
车马无车马	鞍马
青山杳霭间	间
行人苦辛苦	辛苦
留得夜归还	夜
何事更多情	交情
茫茫极世情	茫茫
不知安得处	安得
期是故人情	期
良时不在旧时时	之时
万事多情难不知	难
今日扁舟来往去	危疑
山中唯有几人知	人
千年万事不轻轻	轻
今日思君去不行	君
一念归来无念念	念
他年何处听泉声	年
身世不为世	世
无言信不信	信
朝来不上城	城
莫向当门白	门
何处不为君	君
万事不可备	备
三清自清清	三清
日日与天雨	天
老来都不喜	喜
心事不分分	分
到此不相想	想
应无一纸书	书
叶叶叶叶叶	叶
微风尽日长	日
谁知有生处	生
蜂蝶去还忙	忙
洛阳亭上倚危亭	亭
想见山中一夜灯	灯
明日白云无尽日	日
不知洞口一山僧	口
静听钟声第一声	数声
不将孤梦到家行	家
不知疑是山中事	疑
一夜冲寒听雨声	寒
一炷一炉香	香
人心无尽日	日
夜窗一睡起	睡起
不觉不知迟	迟
江南湖上客	客
望邑洛阳城	邑
遥望深山里	深
断肠第一声	肠断
江上万重云	云
西风满山雪	雪
有骨自有骨	骨
只在澄潭里	潭
梦里寻花不见花	花
一溪流水一溪斜	溪
扁舟十载不归去	十载
不见青山山在家	山
昔日游人少	少
如今谢武王	王
应须待君子	须
书不是中郎	书
明月湖边月	月
钟声一夜声	声
澄波波不起	波
卢得一经行	曹
杨柳萧条上柳条	萧条
又催春雨过东桥	催
可怜万里凌风雨	风
又向青山过小桥	青山
黄叶枝头柿叶黄	黄
桃花不见杏花香	桃花
春风自在春风里	春风
明日偏偏春日长	偏
春梦都如梦	梦
伤心事已空	空
欲行山下路	行
终日忆苏公	公
不是祖师师	师
谁能听此声	声
虽然扶不得	扶
不到不须行	行
不见梅花二十春	春
百花千里惹埃尘	尘
谁知物色无中色	绝色
知是山中有几人	人
白日青山小	小
西风隔浦风	风
乱山深处处	山
藏在白云中	藏
美人朝宴罢	罢
日日倦徘徊	倦
不知主人在	主人
寄书寄雁来	书
少年何事不知予	予
三十年来计未终	终
岂是身心如此地	此地
归来不作瓮头春	春
白玉峰头白玉玉	玉
洛阳天上浮云度	度
春来到处不知非	非
不见梅花好风月	梅花
自在山中坐	坐
归来不见竹	竹
不是铁如铁	铁
归来不相问	问
百年何事事难难	难
今日天风日日寒	风
归去不来人不见	人
诗人不作放翁看	翁
往来天上人	人
前身是此身	身
不知谁不解	解
啼鸟不知春	春
三十三年与旧游	胜游
归来日日日风流	日
不知今日谁相顾	顾
每到青山去未休	休
竹林深处听鸡鸡	鸡
惟有行人尚有诗	诗
枫叶满林秋夜雨	秋
西风吹雨过风时	风
相似向来时	相似
伤心不是道	道
谁知死不死	死
何处有新诗	新诗
流水桥边路	路
欲向江南道	道
相望远山远	远
江山暮潮度	度
百年何事事难难	难
故人寻处到长安	寻
怅望青山一千里	千里
故人争向镜中看	争
不见梅花二十春	春
可怜花发不宜春	花
东风不吹西风去	吹
相伴閒眠作醉人	眠
记得山头一秃翁	翁
青山千里一天风	风
如今不得闲身去	身
直到虚空眼自空	空
不见梅花二十春	春
今年春色不愁人	人
可怜陌上千株柳	柳
一缕丝丝作美人	丝
北风吹雨入深山	深山
疑在寒云杳霭间	云
只学扁舟看不得	学
却随风雨动江山	动
年来何事不沾衣	牵衣
岂是人心总是机	机
赢得白头还白日	白日
至今犹向白头归	犹
斜风细雨扫空空	空
楼上楼高一半空	高
不是主人无限意	意
游人只在向西东	西
江北风高意气高	高
行人赢得十三三	十三
谁知不是南阳女	女
北望青山天不遥	天
极目青山杳霭间	间
一江流水发云山	发
不知何处令归去	令
记得扁舟趁晚还	晚
江上凭危阁	阁
孤山雪雪中	雪
楼台明月冷	冷
闲在玉楼中	闲
燕子溪头柳色新	新
小桥流水满山根	根
老来何事缘何事	缘
飞入青山深闭门	深
流水满江水	湘水
渔舟万骑来	万
安得郎归去	郎
惭愧扁舟回	惭愧
洛阳亭上倚危亭	亭
山色空空映月明	空
不是主人今日醉	醉
满山今日买山行	山
江上万云山	万
茫茫杳霭间	间
扁舟舣舟去	舟
不是渡湖船	船
老子从来自有诗	诗
今年不是雪晴时	雪
夜来春梦浑如梦	梦
正是梅花欲雪时	雪
世事从来万事非	非
百年何事为胡归	胡
老来不得书书在	书
今日归来乐不归	乐
欲去归来晚	晚
归来玉白头	玉
残花对残泪	残
飞尽故人愁	云飞
昨夜东风趁晚风	晚风
斜风细雨又轻风	轻寒
东风终日寻春去	春
细雨还堪细雨中	堪
细雨不成雨	雨
鱼龙不是龙	龙
棹随沧海去	津
曾在白云中	曾
江上万重山	山
旌旗去不还	旗
故人都不肯	不肯
吹雨送风还	风
从来勘不破	破
四海四海海	海
不是一毫端	无端
从来文甲子	文
北风吹雨点红尘	点
想见风光负主人	负
蝴蝶不随双燕去	双
看来谁复是闲人	复
池上雪如雪	雪
临风倚槛前	前
荷花三十里	十里
不是是经年	相逢
桃花深处见桃花	桃花
门外青门自一家	青门
自是本来无处法	法
白云深处是君家	君
本来无外外	岛外
不得白头舍	舍
不是掌中图	图
冲云入云去	云
细雨旋旋旋	旋
壶中百尺珠	珠
北来湖上去	北来
艇子钓鱼鱼	子
江上万重云	云
空山不见花	花
主人惟有酒	酒
犹有客思家	客
枫叶郁英英	英
煌煌汉昌帝	帝
老施谁不施	施
美人不归去	归去
东风初漏漏	漏
露气怯寒寒	寒
独有瑶阶露	露
霜霜耐岁寒	霜
白水浮云万里行	行
白云深处几人行	人
世间不尽人间事	人间
犹听林间听雨声	犹
少年造物不从容	从容
赢得乾坤造化功	功
安得归来殢春雨	春雨
谁知不作老翁翁	翁
三十年来尚尚余	尚
西风飞上玉穹庐	玉
如今不与游人侍	侍
一曲诗人一读书	一曲
陌上秋风散	散
春菲一日开	春华
不知春色外	外
不待春风来	春风
梦里寻花不见花	花
懊愁何处是年华	解愁
多情不与游人语	语
儿女含羞带落花	含羞
渺渺长江水拍天	天
钓鱼衣上上渔船	衣
江南明月三千里	江南
只在绿阴江水边	绿阴
五月三三月	十月
天门不出门	天门
谁知万物物	物
如此实无冤	实
池上雪如雪	雪
江山殊未开	江山
行人不胜胜	胜
明月向空来	空
不向山中结	结
朝来对紫霞	紫
归来一樽酒	酒
诗酒看梅花	诗
只在浙江边	江边
行人不忍看	不忍
朝来不归路	归路
不是旧时丹	丹
初落日	落日
唱歌唱歌唱	唱
流水满秋水	濯秋水
处处无人采	采
零落青山古	古
青山寺里僧	僧
不知不是禅	禅
犹是北山僧	犹
天上太虚虚	虚
煌煌万万都	万
一尊一尊酒	酒
不见枕前书	前
白云深处是谁家	谁家
细雨萦风绿树斜	风
啼鸟不知何处伴	伴
却怜何处看桃花	怜
细雨初晴五日晴	晴
春风风暖杏花晴	春风
桃花落尽无红处	红
带绿黄鹂听雨声	绿
少年何事不相留	留
留与高人别旧愁	人
日暮秋秋江上雁	秋
怪来无语不回头	无语
来读读书书	书
不在故林林	林
不是人间事	人间
年来不觉心	觉
野水浮云合	合
风流到赵州	州
江山独自清	清
爽气袭人愁	人
不折一枝枝	枝
蜂蝶争争时	争
呼奴不相唤	呼唤
不是恨迟迟	恨
欲去归来晚	晚
飞来江上云	云
不知文不去	文
知是故人人	古人
一事谁为念	念
伤心亦自俱	俱
老婆今有后	老婆
造物为谁分	分
江北风高意气高	高
一楼明月照寒涛	寒
谁知不是长安道	道
万顷秋秋涨海涛	秋
诏诏朝朝诏	诏
承恩不少恩	少
十年骑马马	马
日日满西门	西
昼静闭门静	静
钟声塞更长	塞
升央入宫殿	金殿
宫殿漏犹香	犹
百年尘里委埃尘	尘
万事纷纷作故人	纷纷
说得个中无底事	孔
却将心事破精神	破
洛阳宫殿上楼台	台榭
陌上游人不敢回	不敢
燕子不成成底事	成
玉楼明日上楼来	高楼
百年尘里委埃尘	尘
一树桃花不见春	春
今日与君君不去	君
杏花深处见山人	山
只在青岩底	底
从来方小小	小
便是一天风	风
相呼白头去	呼
江上万重山	山
一饮不可饮	饮
无愁不是愁	愁
夜雨亦愁绝	愁
记得一尊尊	尊
不是是人人	知人
不知王何事	王
不是苦相亲	苦
燕子溪头柳色新	新
五湖流水坐红尘	坐
桃花开尽浑无事	浑
今日相持作主人	持
江上万重山	山
渔舟上钓船	渔
不知山下路	路
买得买桑田	买
三十年来顿热魔	顿
平生何事唤如何	唤
老来若不为天巧	天
今日重来竹更多	竹
流水山前水	水
江山野水浮	浮
不知何处话	话
儿不在船头	儿
老子从来自有诗	诗
年年稚子送青时	青
今年不得郎归去	郎
正是涪翁白发时	翁
流水山前水	水
孤舟去复回	复
可怜桥上月	月
春色不分来	分
只宜心事不相宜	便宜
岂是人心总不知	总
若是还家无住处	家
不知疑是不相疑	疑
昼静闭门静	静
禅床一枕眠	眠
林深树深处	深
风雨宿炊烟	宿
往来天上人	人
日日染罗衣	衣
莫将花影动	动
晓晓劝人归	晓
不作骚人句	句
偷闲亦自闲	闲
城中深院里	城中
不是汉家还	家
把酒一樽酒	酒
从来不可谈	谈
马骑一骑马	上马
不得买金钱	买
百年尘里委埃尘	尘
直至如今是此民	民
世事不疑缘底事	疑
不知不是不归人	人
一溪流水下浯溪	溪
隔岸渔舟上钓池	池
最是江南湖上客	客
桃花知是荻花时	花
江上雁飞飞	飞
孤舟夜不归	夜
楚江清似镜	清
不是野人归	野人
何处是诸贤	诸
谁知不是贤	贤
众生那不爱	爱
不是此身然	身
难知乐事如何事	相违
万事从来有几人	人
父老相牵又归去	牵
不知今日载游人	载
往来天上人	人
山色照眼明	明
须知是君处	君
夜雨经雨晴	雨
三十年来不记年	年
至今游迹亦依然	游
如今不向青山隔	隔
今日惟愁第一篇	愁
燕子溪头柳色新	新
一帘帘影拂罗茵	影
谁知不是人间事	人间
不是行行是主人	行
世事从来不是俱	俱
一生心事不成空	空
须知不是真为佛	佛
到处无边不到中	无边
落日青山遍	遍
湖光照菡蕖	蕖
不知交集处	迭
何处倚苍岩	倚
何处不为君	君
谁知不是儒	儒
此生今自愧	愧
只在玉堂堂	堂
往来天上人	人
谁知意亦深	深
与渠默无语	渠
要令主人心	令
不见庭前树	树
归来不是秋	秋
别来俱不了	俱
不是点离愁	点
老去归来杳不闻	闻
年来何事恶离群	恶
祗今此去休归去	祗
不见今摧又暮云	摧
老子从来不可忧	忧
此身那得此身谋	身
如今记得依前事	前
不是愁人不白头	人
造物是精神	精神
从来骨自真	骨
先生太生处	生
长见太明人	隔帘
何处不为君	君
不知江上春	春
不知春色重	重
不是是闲人	闲人
流水自清清	清
澄澄碧涵碧	碧
飞鸟不教来	教
落花娇不歇	娇
牢落今牢落	落
临风倒钓竿	倒
扁舟江上去	扁舟
知是汉家看	家
倒影湖边影	影
荷花绿岸头	绿
近来风物好	风物
曾见上船头	曾
春色不分分	分
东风去何久	久
谁知我亦惭	惭
不是斯人志	志
东风吹逐北风吹	吹
落日东风晓渐迟	晓
一树桃花不争尽	争
不知难处立多时	难
老子不不泣	泣
中原如故原	原
谁知闭门外	门外
尽日闭柴门	日
二十年来何处游	游
今年又向梦中游	游
如今只在湖山处	山
不到梦中已白头	梦中
不在山中夜	夜
飞来桂树香	香
春风花影里	春风
春梦梦池塘	梦
蜡梅枝上一株梅	梅
更绕梅花烂熳开	绕
不是主人无一语	语
北风吹雨送香来	香
记得山头一秃翁	翁
不知天地与天通	天
如今须得经行处	须
却是真成一梦中	成
白玉钗头百颗珠	珠
枝头山色绕如酥	绕
不知处处谁人识	人
留得高秋入画图	秋
一炷一炉香	香
枝头一点红	红
不知花似雪	花
那得到秋中	秋
秋风昨夜夜	昨夜
寂寞掩柴关	关
一夜愁愁起	愁
行人空往还	空
落日秋风动	动
西风入殿开	殿
金金无尽处	金
应是使人来	人
南北东南北海南	南
满城风雨满花潭	花
行人不向桐江去	江
留得萧郎过石桥	郎
细雨初晴五日晴	晴
桃花红绿十分明	红
桃花花落人家酒	酒
看得杏花春雨晴	柳花
荷叶如荷叶	荷叶
荷花菡萏花	花
春来意犹在	犹
堪笑看梅花	笑
不见梅花二十春	春
可怜生醭甑生尘	生
主人不识谁相识	不识
乞与夭红作醉人	红
西上江城出冶城	城
清风何处听风声	清风
城中惟有胡姬酒	酒
不见梅花向月明	月
落日青山遍	遍
柴门独掩关	出关
行人无处问	问
为赵故人还	赵
山头秋色暗	暗
落叶落花乱	乱
君子去不归	君子
花落草犹湿	犹
主人无道道	道
陈迹已陈陈	陈
唯有天风雨	天
如今贺圣人	贺
水色湖光照眼明	明
芦花寒暖月初生	寒
夜深鸥鹭双飞去	夜深
渐渐林中听雨声	渐
天上太虚虚	虚
千年八十年	年
不知无此日	日
何处有新篇	新
老去归来杳不闻	闻
不知何处恨浮云	恨
山中只有经行处	行
遥望青山空暮云	空
梦里寻花不见花	花
人家都是野人家	家
江南南北南枝好	江南
日日停舟系钓槎	舟
往来山谷谷	谷
幽鸟听蝉蝉	蝉
处处留何处	留
幽人不是仙	仙
京国令人使	使
山中不是仙	仙
不知林下鹤	鹤
何事在人间	人间
江北风高意气高	高
只将茶醮共离骚	茶
不知今日来迎去	迎
落尽桐花看碧桃	花
昔日登山访远游	访
行人应是少人游	人
老来心事心无事	心
归去归来犹白头	犹
百年何事事难难	难
二子都为老子看	太子
世事不知何处难	难
举头日日日相看	日
不是山中集	集
那知海上公	公
只应出处处	出处
应不到池中	池
五日十日醉	醉
梦中无一声	一声
何事今犹在	犹
如此更无情	无情
一篷风雨打篷篷	篷
不见梅花数点红	红
心事觉来方觉觉	觉
不知不是在人中	人
梦里寻花不见花	花
谁知不是酒人家	酒
眼中惟有桃花紫	紫
留得书生长绿芽	书生
千峰只在万峰前	前
长笛一声鸣钓船	鸣
安得江头双白鹭	双
不知还是旧山川	旧
江上万云山	万
波光照不动	不动
知是一行春	春
颜色浑如旧	旧
千峰只在万峰前	前
万事从来念坦然	念
今日往来无处问	问
老来元自自超然	元
本来都不记	记
不是是天风	风
道者今无久	久
须知天不通	天
白水浮云万里行	行
不知何处到家行	家
洛阳桥上新新雨	新
时听蘋花第一声	花
万里青山远	远
长江万里秋	秋
夜来江上雨	雨
只在树江头	树
梦里寻花不见花	花
枝头芳树衬金鸦	金
游人不向六宫去	宫
梦里寻春第几家	春
斜风细雨扫空空	空
只在浮云入梦中	浮云
不是人间无底事	人间
不知著意有东风	意
燕子溪头柳色新	新
先生不是太平生	凉生
从来记得支支处	支
却向白鸥马上行	鹭鸥
昔乐山中乐	乐
年来迹少多	少
青山闲涧水	闲
白鸟笑渔歌	笑
梦里寻花不见花	花
美人何处是京华	美人
不将春色随人见	人
独枕春风看落花	枕
湖边春草生	生
江上扁舟行	行
扁舟入阊门	门
芦花荻花发	花
不政不为政	政
谁知有帝臣	社稷臣
嗟空无一事	空
不是不为人	人
往事如相问	问
相看雪如雪	雪
世事太匆匆	太
寸心都不施	施
春色已纷纷	纷纷
春来不到家	家
可怜空草色	空
落日日斜斜	日
一叶枝头柿叶红	红
落花细雨绕秋风	绕
游人折得柔条短	短
又作荷花一阵风	风
江上青山处士家	家
清阴深处几人家	清阴
从来自有游人圣	圣
不与诗人学钓槎	学
千峰只在万峰前	前
今日遗文尚自然	文
记得往来书绝处	书
何劳不得十三年	劳
何事重来别有情	情
归来樽酒倍多情	酒
明朝更向江南去	江南
谁寄南山风雨声	寄
一叶枝头柿叶红	红
不知何处又春风	春风
不知陌上垂杨柳	杨柳
不见梨花种满丛	种
何处不为君	君
无心与云水	云水
归来入酒醒	酒醒
不在山何处	山
一树桃花满眼青	青
不知何处足多情	足
东风细雨冲寒去	寒
添得扁舟复一程	复
流水怒澜翻	翻
青山远入山	山
一峰苍翠翠	翠
处处障云山	障
明月照秋月	秋月
伤心白日中	白日
可怜空夜月	空
吹雨入山空	山
青山无觅处	觅
又向白头骑	骑
朝来向南北	南
处处君知否	君
钟声彻不彻	彻
落叶一秋秋	秋
山色知何许	许
秋风到月钩	月
东风吹逐北风吹	吹
猎猎旌旗斗斗旗	斗
知是凤凰台上客	客
流莺应是送归时	流莺
江上万重云	云
渔人坐中坐	坐
正是一天风	风
折来便来去	折来
不见梅花二十春	春
白头头白白精神	头
可怜江上桃花岸	岸
不见梅花愁杀人	愁
白玉峰头白玉玉	玉
中有仙人天上行	行
主人不作谪仙咏	咏
付与仙人寄此生	寄
不知何处记当年	当年
芳草重来草自然	草
不是今年似今日	今日
明朝风雨更垂鞭	垂
日日无归日	日
归来有好风	风
故人遗往事	遗
只在麦场中	麦
老去归来杳不闻	闻
更看明月照寒云	寒
钟声昨夜声归去	声
不见青山生白云	生
何处是苏祠	祠
朝来现战场	现
不知空夜月	空
心在白云乡	心
百尺钗头插髻丫	髻
谁将白发发荷花	发
游人付与幽人伴	伴
唯有东风吹绛纱	吹
细雨旋旋旋	旋
蛙声入水口	水口
却作小船行	行
一声风急急	急
石上一株松	松
只在山中夏	夏
拄杖出岩头	头
幽人不相语	语
零落青山古	古
青山处处安	安
夜来人不见	人
空倚倚阑干	空
东风吹雨逐东风	东风
一片孤云杳霭中	一片
满树落花人不见	人
杜鹃飞在雨声中	飞
昨夜东风咽不流	流
荻花千树荻花秋	花
桃花处处春风里	春风
一树黄花总是愁	愁
不知何处是吾庐	庐
惟有清清与太臞	清
不是世间今犹在	犹
往来曾是此曾无	曾
一树桃花未肯归	肯
园中有酒不忘归	酒
年来惟有游人眼	眼
不是愁心独自归	心
一树桃花烂不开	烂
荷花深处看花开	荷花
不随蛱蝶随人去	人
蝴蝶群群飞去来	群
不识主人意	意
虽然合不合	合
人心奈何许	许
从来有添事	添
白水浮云万里行	行
夕阳江上汉人行	汉
主人筋力谁为力	力
却向青山念此生	念
细雨湿罗衣	衣
落花天欲飞	天
小桥流水间	间
鸥鸟独眠归	眠
江北风高意气高	高
百年心事短何劳	短
朝来不逐儿儿去	儿
留得青山处处扶	扶
一夜东风五月寒	寒
月明明照北窗寒	明
青山只在山深处	山
只有梅花绕树看	树
一树桃花发	发
工夫那个时	工夫
如今下堂后	堂
折得一枝枝	一枝
把酒一杯酒	载酒
归来亦有诗	诗
使君君知否	君
日日出门西	西
少年何事不须须	须
况是刘郎不读书	郎
料得老来全好事	全
不知心事不须须	须
二十三年三岁岁	岁
春风又向月中舞	舞
斜风细雨挂江头	挂
梅花万里行行路	行
西风吹雨满天风	风
尽在诸贤一梦中	诸
莫道向来天上道	道
萧萧萧在夕阳中	萧
世事从来万事非	非
百年心事倍明辉	明
年来不被游人笑	笑
今日归来又破归	破
白水浮云万里行	行
庞公何处不知名	公
如今不向峰前去	前
到得几多更有情	几多
落日挂江头	挂
汀洲楚山远	山
何处不相寻	寻
白鸟相呼去	呼
世事从来万事非	非
十年何事又双归	双
如今不向元元去	元
龙阙骖鸾去不归	峨
车马上骖鸾	鸾
中有石石石	石
中有万金金	金
斯人不堪叹	叹
萧萧落叶已萧萧	萧萧
五月霜清一梦遥	清
惊起北窗听不起	窗
人间一梦过溪桥	人间
池上雪如雪	雪
茅茨屋边屋	屋
中有山中书	书
只在山前寺	寺
胸中无一线	一线
亦不是於人	人
自是诚斋者	斋
方知尚法身	尚
流水山前水	水
层峦叠叠湾	叠叠
月明无处处	月明
花影满秋湾	秋
不识主人意	意
何人爱往来	爱
谁知昨夜梦	梦
悟得百花开	悟
何处是刘郎	郎
王郎似妾郎	郎
谁知妾郎妾	郎
妾是楚王郎	郎
三十年来事不穷	穷
忽闻鼙鼓又闻钟	闻
如今万事非吾事	非
不是明年不相逢	明年
一叶枝头柿叶红	红
晓天微雨怯秋风	天
春来处处偶来处	偶
只在寒云细雨中	云
杨柳萧条绿	绿
桃花陌上花	花
桃花千树树	树
犹在故人家	犹
梦里寻花不见花	花
游人行步到天涯	行
闭门日日谁相对	相对
流到人间是几家	人间
不见梅花二十春	春
杏花枝上雨无尘	雨
桃花嫩绿桃花绿	绿
蜂蝶飞飞作主人	飞
茅屋茅茨绿水傍	傍
诛茅茅屋在茅傍	茅
桃花处处随人见	人
日日哦诗草树香	诗
明月湖边月	月
连天暮暮天	天
一篷明夜月	篷
身在白云边	身
乐事今何废	废
梦中犹读书	犹
牧童驴驷马	驴
亲得不相如	相亲
本在湖边洞	洞
飞来山上竹	竹
处处无人识	识
孤云一千里	千里
三十年来四十秋	秋
故人吟上一渔舟	吟
